# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
奥克兰群岛	オークランド諸島
奥拉	アウラハ (アンスバッハ郡)
奥莱塔	アウレッタ
奥兰多	オルランド
奥朗则布	アウラングゼーブ
奥勒松	オーレスン
奥里诺科河	オリノコ川
奥里萨邦	オリッサ州
奥利弗	オリヴァー
奥列格	オレグ (キエフ大公)
奥林匹克公园	オリンピック公園
奥林匹克圣歌	オリンピック賛歌
奥林匹克体育场	オリンピック・スタジアム
奥林匹克运动会	近代オリンピック
奥林匹斯	オリンポス
奥林匹亚	オリンピア (ギリシャ)
奥伦堡	オレンブルク
奥罗拉	アウローラ
奥马哈	オマハ (曖昧さ回避)
奥美	オグルヴィ・アンド・メイザー・ジャパン
奥美拉唑	オメプラゾール
奥姆真理教	オウム真理教
奥尼尔	オニール
奥帕瓦	オパヴァ
奥沙利铂	オキサリプラチン
奥氏体	オーステナイト
奥司他韦	オセルタミビル
奥斯	オス (オランダ)
奥斯卡	オスカー
奥斯卡金像奖	アカデミー賞
奥斯卡最佳动画短片奖	アカデミー短編アニメ賞
奥斯陆	オスロ
奥斯曼帝国	オスマン帝国
奥斯塔	アオスタ
奥斯特里茨战役	アウステルリッツの戦い
奥斯威辛	オシフィエンチム
奥斯威辛集中营	アウシュヴィッツ＝ビルケナウ強制収容所
奥陶纪	オルドビス紀
奥特曼传奇	ウルトラマンサーガ
奥特兄弟	ウルトラ兄弟
奥特之父	ウルトラの父
奥田民生	奥田民生
奥托一世	オットー1世
奥维耶多	オビエド
奥西	オッシ
奥匈帝国	オーストリア＝ハンガリー帝国
奥义书	ウパニシャッド
奥运村	選手村
澳大利亚	オーストラリア
澳大利亚箱形水母	オーストラリアウンバチクラゲ
澳大利亚总督	オーストラリアの総督
澳葡政府	マカオ政庁
澳新军团	ANZAC
澳新军团日	ANZACの日
澳洲广播电台	ラジオ・オーストラリア
澳洲航空	カンタス航空
澳洲野犬	ディンゴ
薁	アズレン
八佰伴	ヤオハン
八坂神社	八坂神社
八边形	八角形
八步区	八歩区
八部	八部
八叉树	八分木
八尺琼勾玉	八尺瓊勾玉
八达岭	八達嶺長城
八达岭站	八達嶺駅
八大山人	八大山人
八德	八徳
八洞神仙	八洞神仙
八斗子	八斗子
八氟环丁烷	オクタフルオロシクロブタン
八纲辨证	証
八哥	ハッカチョウ
八公山区	八公山区
八股文	八股文
八卦	八卦
八卦掌	八卦掌
八皇后问题	エイト・クイーン
八极拳	八極拳
八甲田山	八甲田山
